Title,Neighborhood,Total Area,Useful Area,Bedrooms,Bathrooms,Garage,Rent,Condo Fee,Link
,Bela Vista,27,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,Bela Vista,27,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,República,20,,,,0,R$ 320,,
,Tatuapé,55,,1.0,1.0,1,R$ 495,R$ 185 Condominio,
,Vila Ede,30,,1.0,1.0,0,R$ 525,,
,Jardim Cidade Pirituba,20,,1.0,1.0,0,R$ 530,,
,Vila Ede,30,,1.0,1.0,0,R$ 550,,
,Mandaqui,16,,1.0,1.0,0,R$ 550,R$ 350 Condominio,
,São Paulo,49,,2.0,1.0,0,R$ 550,R$ 336 Condominio,
,Vila Nair,20,,1.0,1.0,0,R$ 550,R$ 250 Condominio,
,Conjunto Residencial Jardim Canaã,20,,1.0,1.0,0,R$ 550,,
,Cidade Tiradentes,36,,2.0,1.0,0,R$ 550,R$ 120 Condominio,
,Aclimação,27,,1.0,1.0,0,R$ 560,R$ 520 Condominio,
,Aclimação,22,,1.0,1.0,0,R$ 570,R$ 400 Condominio,
,Tatuapé,55,,1.0,1.0,1,R$ 595,R$ 185 Condominio,
,Centro,110,,,1.0,10,R$ 599,R$ 415 Condominio,
,Aclimação,12,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Liberdade,32,,,1.0,0,R$ 600,R$ 370 Condominio,
,Jardim das Vertentes,18,,1.0,1.0,0,R$ 600,,
,Aclimação,12,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Bela Vista,27,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,Bela Vista,27,,1.0,1.0,1,R$ 200,R$ 400 Condominio,
,República,20,,,,0,R$ 320,,
,Tatuapé,55,,1.0,1.0,1,R$ 495,R$ 185 Condominio,
,Vila Ede,30,,1.0,1.0,0,R$ 525,,
,Jardim Cidade Pirituba,20,,1.0,1.0,0,R$ 530,,
,Vila Ede,30,,1.0,1.0,0,R$ 550,,
,Mandaqui,16,,1.0,1.0,0,R$ 550,R$ 350 Condominio,
,São Paulo,49,,2.0,1.0,0,R$ 550,R$ 336 Condominio,
,Vila Nair,20,,1.0,1.0,0,R$ 550,R$ 250 Condominio,
,Conjunto Residencial Jardim Canaã,20,,1.0,1.0,0,R$ 550,,
,Cidade Tiradentes,36,,2.0,1.0,0,R$ 550,R$ 120 Condominio,
,Aclimação,27,,1.0,1.0,0,R$ 560,R$ 520 Condominio,
,Aclimação,22,,1.0,1.0,0,R$ 570,R$ 400 Condominio,
,Tatuapé,55,,1.0,1.0,1,R$ 595,R$ 185 Condominio,
,Centro,110,,,1.0,10,R$ 599,R$ 415 Condominio,
,Aclimação,12,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Liberdade,32,,,1.0,0,R$ 600,R$ 370 Condominio,
,Jardim das Vertentes,18,,1.0,1.0,0,R$ 600,,
,Aclimação,12,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Cidade Líder,25,,1.0,1.0,0,R$ 600,,
,Sacomã,150,,1.0,1.0,0,R$ 600,R$ 10 Condominio,
,Jardim Maia,25,,1.0,1.0,0,R$ 600,,
